GENRE,TOTAL_TITLES,AVG_IMDB_SCORE,AVG_TMDB_SCORE,TOTAL_VOTES_K,AVG_ENGAGEMENT_SCORE,AVG_VOTES_PER_TITLE,ENGAGEMENT_RANK
documentation,3,8.25,9.4,88,7.18,43997,1
western,4,8.17,8.07,158.2,6.98,52726,2
thriller,90,7.46,7.71,1509.9,6.28,16777,3
reality,4,7.33,8.35,0.9,6.12,235,4
horror,49,7.03,7.52,731.9,5.96,14937,5
crime,31,7.15,7.51,447.6,5.95,15434,6
drama,395,7.17,7.4,2588.7,5.87,6867,7
fantasy,353,7.02,7.52,2676.4,5.81,7669,8
romance,253,6.9,7.39,627.9,5.74,2482,10
action,463,6.93,7.41,2603.2,5.74,6303,11
war,21,6.92,7.43,17,5.74,892,9
family,35,7.29,7.57,188.5,5.71,5385,12
scifi,472,6.91,7.36,2608.9,5.7,6348,13
sport,55,7.08,7.52,74.2,5.63,1349,14
comedy,567,6.9,7.14,2096.6,5.57,3993,15
animation,947,6.82,7.18,3437,5.54,3884,16
history,25,6.86,7.32,36.6,5.44,1465,17
music,29,6.84,6.89,42.7,5.43,1473,18
european,1,7.3,6,0.2,5.41,204,19